seed_id,target_id,source_ideology,source_topic,rank,condition
rDWTEVUfEcY,epQGMKTicN4,anti_feminism,gender_conflict_discourse,11,baseline 
rDWTEVUfEcY,Tslysu_mtyc,anti_feminism,gender_conflict_discourse,12,baseline 
rDWTEVUfEcY,cL1EsgFqVLU,anti_feminism,gender_conflict_discourse,13,baseline 
rDWTEVUfEcY,kWP6Ij1U2Sg,anti_feminism,gender_conflict_discourse,14,baseline 
rDWTEVUfEcY,h1_Vo0QxzbU,anti_feminism,gender_conflict_discourse,15,baseline 
rDWTEVUfEcY,gvLWLmsfk7M,anti_feminism,gender_conflict_discourse,16,baseline 
rDWTEVUfEcY,XAdR1PaPzqQ,anti_feminism,gender_conflict_discourse,17,baseline 
rDWTEVUfEcY,FdKtvmTBAXc,anti_feminism,gender_conflict_discourse,18,baseline 
rDWTEVUfEcY,yHzJpEdZmr8,anti_feminism,gender_conflict_discourse,19,baseline 
rDWTEVUfEcY,SxYEtMjZWcs,anti_feminism,gender_conflict_discourse,20,baseline 
zaUVwiD2keU,MW_kYAFav-c,anti_feminism,gender_conflict_discourse,1,baseline 
zaUVwiD2keU,Tslysu_mtyc,anti_feminism,gender_conflict_discourse,2,baseline 
zaUVwiD2keU,clvneMg9SR0,anti_feminism,gender_conflict_discourse,3,baseline 
zaUVwiD2keU,LLHJf9nx6Yg,anti_feminism,gender_conflict_discourse,4,baseline 
zaUVwiD2keU,3jNmX2gtuKA,anti_feminism,gender_conflict_discourse,5,baseline 
zaUVwiD2keU,4m00WPCvRZw,anti_feminism,gender_conflict_discourse,6,baseline 
zaUVwiD2keU,PJ6EJPBX-R4,anti_feminism,gender_conflict_discourse,7,baseline 
zaUVwiD2keU,c5T7xjhcW1k,anti_feminism,gender_conflict_discourse,8,baseline 
zaUVwiD2keU,zH-CdfAQUFU,anti_feminism,gender_conflict_discourse,9,baseline 
zaUVwiD2keU,dJUW2xWrjkY,anti_feminism,gender_conflict_discourse,10,baseline 
zaUVwiD2keU,MUH8szIcXQo,anti_feminism,gender_conflict_discourse,11,baseline 
